subj,prompt,range,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10
ec_1,verde,2-25,malua,noni,mango verde,pasto,amasisa,apio,culantro,coll,lechuga,
ec_1,azul,2-14,cielo,rio,mar,,,,,,,
ec_1,marrón,1-12,tierra,barro,tronco de arbol,madera,,,,,,
ec_1,negro,2-54,cormion,chologue,umary,ungurawi,parrilla,carbon,cejas,pelo,,
ec_1,rosa,1-39,flor,,,,,,,,,
ec_1,amarillo,2-31,sol,estrella,zapallo,luz de foco,coco (amarillo sucascara),papaya,mallon,mango ingerto,,
ec_1,blanco,2-42,leche,queso,nube,plato descartable,agua,azucar,arroz,harina,sal,hielo
ec_1,naranja,2-43,naranja,mandarina,,,,,,,,
ec_1,gris,2-15,plomo,tierra,arena,cemento,cenisa,,,,,
ec_1,morado,54-56,bioleta,sachapapa,camote,,,,,,,
ec_1,rojo,1-59,sangre,colorete,bamdera,achote,fresa,cevezia,gelatina,,,
ec_2,verde,1-32,pera,manzana (chilena),culantro,mango (verde),vijao,malva,chincho,auakatai,apio,poro
ec_2,azul,1-30,cielo,rio,,,,,,,,
ec_2,marrón,1-48,tierra,papa (la cascara),yuca (la cascara),tronco de arbol,camote,kuxu,,,,
ec_2,negro,2-16,semilla de papaya,uva negra,carbon,cormion,aceituna,pelo,petroleo crudo,umary,ungurawi,
ec_2,rosa,1-05,polmon,,,,,,,,,
ec_2,amarillo,2-18,zapallo,mango maduro,maduro,durazno,sol,aguaje,marucuya,,,
ec_2,blanco,1-33,nube,leche,azucar,arroz,sal,nieve,hielo,harina,chuno,tapioca
ec_2,naranja,1-23,tan hielo,naranja,mandarina,,,,,,,
ec_2,gris,1-42,plomo,cenisa,poluora,bronce,aluminio,arena,ripio,piedra,cemento,
ec_2,morado,0-48,mora,,,,,,,,,
ec_2,rojo,2-53,sangre,corazon,sannia (por dentro),labin,fresa,flores,gelatina,,,
ec_3,verde,1-40,platano,la hojas,pera,culantro,mango verde,arbol,hierra,pepino,apio,poro
ec_3,azul,59-23,cielo,mar,,,,,,,,
ec_3,marrón,1-35,tierra,madera,papa,barro,cascara (de wito),mesa,silla de madera,,,
ec_3,negro,3-09,wito,cormion,uvas (negras),carbon,pelo (peruano),acietuna,lunares,ungurawi,,
ec_3,rosa,00-44,,,,,,,,,,
ec_3,amarillo,1-20,zapallo,mellon,papaya,aguaje,sol,maduro,,,,
ec_3,blanco,1-41,hoja de papel,lluvia,nube,sal,azukar,los dientes,harina,arroz,pape higienico,
ec_3,naranja,1-00,naranja,flores,,,,,,,,
ec_3,gris,2-57,tierra,cemento,arena,piedras,plomo,polvo,calamina,,,
ec_3,morado,01-14,sachapapa,,,,,,,,,
ec_3,rojo,2-08,sandia (por dentro),manzana,colorete,sangre,poma rosa,gelatina,fresa,veterraga,camu camu,
ec_4,verde,5-3,hoja de mango,caimito,almendra,platano,palta,pepino,sandia (su cascara),apio,naranja (verde),
ec_4,azul,1-16,cielo,rio,,,,,,,,
ec_4,marrón,3-46,tierra,madera,cortesa,achote,,,,,,
ec_4,negro,2-33,carbon,chologue,cormion,wito,,,,,,
ec_4,rosa,1-39,fresa,,,,,,,,,
ec_4,amarillo,6-33,palillo (shipibo),sol,zapallo,maiz,,,,,,
ec_4,blanco,2-57,nube,hielo,agua,lluvia,azucar,yuca,harina,kuaker,sal,leche
ec_4,naranja,2-15,mellon,mandarina,naranja,,,,,,,
ec_4,gris,1-23,calamina,carton,,,,,,,,
ec_4,morado,1-26,sacha papa,,,,,,,,,
ec_4,rojo,2-25,sangre,sandia (por dentro),veterraga,,,,,,,
ec_5,verde,2-56,brocoli,pera,coll,apio,platano,limon,alcachofa,,,
ec_5,azul,2-50,cielo,rio,hierra luisa,,,,,,,
ec_5,marrón,3-28,tierra,madera,tabla,mesas,,,,,,
ec_5,negro,5-1,uva,negra,aceituna,cormion,cafe,chocolate,wito,noche,pelo (peruano),
ec_5,rosa,1-50,,,,,,,,,,
ec_5,amarillo,2-52,papaya,maduro,zapallo,durazno,maiz,,,,,
ec_5,blanco,4-42,cayamaso,nube,mosquitero,arroz,harina,sal,azucar,,,
ec_5,naranja,1-53,zanahoria,mandarina,,,,,,,,
ec_5,gris,1-51,clavo,martillo,acha,machete,calamina,,,,,
ec_5,morado,2-28,camote,sachapapa,,,,,,,,
ec_5,rojo,2-54,manzana,sangre,veterraga,lapiz labial,gelatina,rocoto,aji dulce,,,
ec_6,verde,,,,,,,,,,,
