Language,subj,age,age_scaled,task,prompt,spanish,num_responses,response,correct,correct_either,wrong_adjacent,wrong_euc_dist
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Ami/Poa,Morado,1,312,0,0,1,49.65288410555826
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Joshin,Rojo,2,"245, 320",1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Panshin,Amarillo,1,320,0,0,0,61.75681419892059
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Pei/Xo,Verde,2,"274, 312",0,0,0,67.24496598417952
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Comprehension,Yankon,Azul/Verde,4,"234, 1, 325, 297",0.75,0.75,1,
Shipibo,sh_1,6.4,-2.0654054054054054,Production,1,Celeste,2,"Rojo, Azul",0,0.5,,
Shipibo,sh_1,6.4,-2.0654054054054054,Production,234,Verde,2,"Yankon, Joxo",0.5,0.5,0,74.88113647641842
Shipibo,sh_1,6.4,-2.0654054054054054,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Production,274,Blanco,2,"Yankon, Joxo",0.5,0.5,1,
Shipibo,sh_1,6.4,-2.0654054054054054,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_1,6.4,-2.0654054054054054,Production,320,Mierda sol,1,Panshin,0,0,0,61.75681419892059
Shipibo,sh_1,6.4,-2.0654054054054054,Production,325,Morado,1,Rojo,0,0,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Barin Poi,Mierda sol,1,234,0,0,0,62.08941536204057
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Comprehension,Yankon,Azul/Verde,4,"234, 1, 320, 325",1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Production,1,Celeste,1,Azul,0,1,,
Shipibo,sh_10,7,-1.4654054054054058,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Production,297,Amarillo,3,"Naranja, Amarillo, Panshin",0.3333333333333333,0.6666666666666666,,
Shipibo,sh_10,7,-1.4654054054054058,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_10,7,-1.4654054054054058,Production,320,Mierda sol,1,Panshin,0,0,0,61.75681419892059
Shipibo,sh_10,7,-1.4654054054054058,Production,325,Morado,1,Azul,0,0,,
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Joshin,Rojo,2,"325, 320",1,1,,
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Joxo,Blanco,1,312,0,0,0,70.54001772044006
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Nai,Celeste,1,297,0,0,0,150.06082933264096
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Panshin,Amarillo,1,1,0,0,0,150.06082933264096
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Wiso,Negro,1,234,0,0,0,59.60879549194061
Shipibo,sh_11,6.9,-1.5654054054054054,Comprehension,Yankon,Azul/Verde,4,"245, 297, 274, 234",0.25,0.25,1,
Shipibo,sh_11,6.9,-1.5654054054054054,Production,1,Celeste,3,"Wiso, Panshin, Joxo",0,0,0,85.43402685622111
Shipibo,sh_11,6.9,-1.5654054054054054,Production,234,Verde,2,"Panshin, Wiso",0,0,0,89.74601308956946
Shipibo,sh_11,6.9,-1.5654054054054054,Production,245,Rojo,2,"Panshin, Wiso",0,0,1,83.03736613457303
Shipibo,sh_11,6.9,-1.5654054054054054,Production,274,Blanco,1,Panshin,0,0,0,109.73825859744632
Shipibo,sh_11,6.9,-1.5654054054054054,Production,297,Amarillo,1,Barin Poi,0,0,0,61.75681419892059
Shipibo,sh_11,6.9,-1.5654054054054054,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_11,6.9,-1.5654054054054054,Production,320,Mierda sol,1,Barin Poi,1,1,,
Shipibo,sh_11,6.9,-1.5654054054054054,Production,325,Morado,1,Panshin,0,0,0,146.31869463605804
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Ami/Poa,Morado,1,320,0,0,0,100.49231861192177
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Barin Poi,Mierda sol,1,312,0,0,1,67.19189385632764
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Joxo,Blanco,1,234,0,0,0,74.88113647641842
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Nai,Celeste,1,274,0,0,0,49.223397891653114
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Panshin,Amarillo,1,1,0,0,0,150.06082933264096
