Language,subj,edad,género,lugar de grabación,grabación,fecha,age,task,prompt,age_interval,response_num,response,correct,spanish,adjacency,dist,correct_switch
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Wiso,6,1,312,1,Negro,,,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Yankon,6,1,234,1,Azul/Verde,1,,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Joshin,6,1,245,1,Rojo,,,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Pei/Xo,6,1,274,0,Verde,0,74.88113647641842,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Panshin,6,1,320,0,Amarillo,0,61.75681419892059,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Nai,6,1,1,1,Celeste,,,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Joxo,6,1,274,1,Blanco,,,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Ami/Poa,6,1,312,0,Morado,1,49.65288410555826,
Shipibo,sh_1,6,femenino,bilingue,7,17/07/2017,6.4,Comprehension,Barin Poi,6,1,320,1,Mierda sol,,,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Wiso,7,1,312,1,Negro,,,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Yankon,7,1,234,1,Azul/Verde,1,,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Joshin,7,1,245,1,Rojo,,,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Pei/Xo,7,1,274,0,Verde,0,74.88113647641842,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Panshin,7,1,234,0,Amarillo,0,119.88323068719829,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Nai,7,1,312,0,Celeste,0,57.01785334436926,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Joxo,7,1,274,1,Blanco,,,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Ami/Poa,7,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_2,7,femenino,bilingue,8,17/07/2017,7.4,Comprehension,Barin Poi,7,1,325,0,Mierda sol,0,100.49231861192177,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Wiso,10,1,312,1,Negro,,,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Yankon,10,1,234,1,Azul/Verde,1,,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Joshin,10,1,245,1,Rojo,,,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Pei/Xo,10,1,312,0,Verde,0,59.60879549194061,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Panshin,10,1,297,1,Amarillo,,,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Nai,10,1,274,0,Celeste,0,49.223397891653114,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Joxo,10,1,274,1,Blanco,,,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Ami/Poa,10,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_3,9,masculino,bilingue,5,17/07/2017,9.6,Comprehension,Barin Poi,10,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Wiso,7,1,312,1,Negro,,,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Yankon,7,1,234,1,Azul/Verde,1,,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Joshin,7,1,1,0,Rojo,0,102.87037328599523,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Pei/Xo,7,1,325,0,Verde,0,104.20868389918375,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Panshin,7,1,297,1,Amarillo,,,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Nai,7,1,1,1,Celeste,,,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Joxo,7,1,245,0,Blanco,1,85.85165694382374,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Ami/Poa,7,1,274,0,Morado,0,77.47574975435863,
Shipibo,sh_4,7,masculino,bilingue,6,17/07/2017,7.3,Comprehension,Barin Poi,7,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Wiso,8,1,312,1,Negro,,,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Yankon,8,1,234,1,Azul/Verde,1,,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Joshin,8,1,297,0,Rojo,1,93.1910736068643,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Pei/Xo,8,1,234,1,Verde,,,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Panshin,8,1,297,1,Amarillo,,,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Nai,8,1,325,0,Celeste,0,58.349317905182055,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Joxo,8,1,245,0,Blanco,1,85.85165694382374,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Ami/Poa,8,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_5,7,femenino,bilingue,1,17/07/2017,7.8,Comprehension,Barin Poi,8,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Wiso,8,1,312,1,Negro,,,
